Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,29.910000,31.480000,29.400000,30.860001,22.461920,1324518200
2007-02-01,30.840000,30.940001,27.790001,28.170000,20.503973,1290850900
2007-03-01,27.820000,28.549999,26.600000,27.870001,20.355940,1269506500
2007-04-01,27.889999,30.740000,27.559999,29.940001,21.867846,958964900
2007-05-01,29.940001,31.160000,29.900000,30.690001,22.415636,1327154700
2007-06-01,30.790001,30.900000,29.040001,29.469999,21.594292,1181412800
2007-07-01,29.670000,31.840000,28.950001,28.990000,21.242571,1295548000
2007-08-01,28.950001,30.100000,27.510000,28.730000,21.052057,1228579500
2007-09-01,28.500000,29.850000,28.270000,29.459999,21.662638,1117419500
2007-10-01,29.459999,37.000000,29.290001,36.810001,27.067255,1772076700
2007-11-01,36.529999,37.500000,32.680000,33.599998,24.706875,1830846800
2007-12-01,33.500000,36.720001,32.630001,35.599998,26.264063,1064817100
2008-01-01,35.790001,35.959999,31.040001,32.599998,24.050802,1950301600
2008-02-01,31.059999,33.250000,27.020000,27.200001,20.066921,2324580800
2008-03-01,27.240000,29.590000,26.870001,28.379999,21.018826,1452390200
2008-04-01,28.830000,32.099998,27.930000,28.520000,21.122524,1444720000
2008-05-01,28.500000,30.530001,27.950001,28.320000,20.974394,1405170200
2008-06-01,28.240000,29.570000,27.110001,27.510000,20.449495,1560439100
2008-07-01,27.270000,27.910000,24.870001,25.719999,19.118900,1637501300
2008-08-01,25.920000,28.500000,25.070000,27.290001,20.285965,1206949700
2008-09-01,27.670000,27.760000,23.500000,26.690001,19.919073,1927538700
2008-10-01,26.379999,27.469999,20.650000,22.330000,16.665152,3044579400
2008-11-01,22.480000,23.660000,17.500000,20.219999,15.090432,1794911800
2008-12-01,19.879999,21.250000,18.469999,19.440001,14.606594,1546943400
2009-01-01,19.530001,21.000000,16.750000,17.100000,12.848396,1564043400
2009-02-01,17.030001,19.930000,16.100000,16.150000,12.134599,1456213400
2009-03-01,15.960000,18.879999,14.870000,18.370001,13.897275,1625752800
2009-04-01,18.230000,21.200001,18.180000,20.260000,15.327092,1562400700
2009-05-01,20.190001,20.940001,19.010000,20.889999,15.803703,1101122400
2009-06-01,21.000000,24.340000,20.860001,23.770000,18.096684,1411144700
2009-07-01,24.049999,25.719999,22.000000,23.520000,17.906355,1517459800
2009-08-01,23.820000,25.490000,23.030001,24.650000,18.766651,993250400
2009-09-01,24.350000,26.250000,23.760000,25.719999,19.691370,1038979700
2009-10-01,25.410000,29.350000,24.430000,27.730000,21.230234,1523430100
2009-11-01,27.700001,30.139999,27.410000,29.410000,22.516457,1018256700
2009-12-01,29.520000,31.500000,29.250000,30.480000,23.438803,920605500
2010-01-01,30.620001,31.240000,27.660000,28.180000,21.670118,1359650900
2010-02-01,28.389999,29.030001,27.570000,28.670000,22.046934,1074643300
2010-03-01,28.770000,30.570000,28.240000,29.290001,22.629030,1110237200
2010-04-01,29.350000,31.580000,28.620001,30.540001,23.594757,1319029500
2010-05-01,30.670000,31.059999,24.559999,25.799999,19.932707,1720130200
2010-06-01,25.530001,26.930000,22.950001,23.010000,17.857409,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,20.030407,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.214401,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,19.107384,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,20.808241,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,19.708138,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,21.909506,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,21.768194,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,20.865444,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,20.049101,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.467604,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,19.749025,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,20.665342,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,21.778095,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,21.142242,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,19.907965,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.299685,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.459850,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,20.920143,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,23.797064,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,25.578016,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,26.168209,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,25.973532,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,23.677935,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,24.976385,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,24.061909,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,25.164181,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.459669,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.456959,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,21.878914,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,22.133266,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,22.746475,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,23.036497,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,23.903999,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,27.655441,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,29.159365,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,29.060946,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,26.789244,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,28.101782,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,28.198116,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,30.002878,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,32.307533,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,31.937878,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,32.304962,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,32.706230,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,35.256603,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,34.749130,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,35.213604,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,36.120335,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,37.384979,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,39.351254,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,40.407619,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,40.921856,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,41.671440,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,40.741405,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,35.434940,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,38.460941,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,35.916782,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,42.965881,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,41.393536,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,39.253124,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,41.520283,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,38.692986,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,39.610409,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,47.110081,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,48.640434,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,49.986397,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,49.635025,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,45.841892,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,50.118435,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,45.254509,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,48.094818,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,46.758961,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,51.793983,647587800
