Date,Open,High,Low,Close,Adj Close,Volume
2006-07-01,61.799999,67.940002,61.630001,67.739998,39.129272,419971700
2006-08-01,67.239998,71.220001,67.010002,67.669998,39.088837,507318400
2006-09-01,67.849998,68.650002,63.869999,67.099998,38.939419,474291100
2006-10-01,67.290001,72.330002,64.839996,71.419998,41.446396,458300600
2006-11-01,71.580002,77.370003,70.269997,76.809998,44.574318,407406000
2006-12-01,76.779999,79.000000,74.820000,76.629997,44.662643,386455900
2007-01-01,76.260002,76.269997,70.639999,74.099998,43.188080,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,41.777618,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,44.162182,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,46.462482,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,48.680832,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,49.308369,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,50.043179,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,50.395874,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,54.628372,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,54.291962,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,52.621708,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,55.510254,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,50.776276,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,51.552402,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,50.329002,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,55.380928,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,52.816265,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,52.675659,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,48.073364,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,47.822319,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,46.654781,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,44.528114,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,48.150669,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,48.234211,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,46.210102,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,41.025959,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,41.354141,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,40.485775,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,42.113228,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,42.706627,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,42.999851,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,42.242367,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,42.168507,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,44.049221,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,46.138878,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,42.154282,648945000
2010-01-01,68.720001,70.599998,64.019997,64.430000,39.829906,596474300
2010-02-01,65.769997,67.230003,63.560001,65.000000,40.182278,534843200
2010-03-01,65.360001,67.889999,65.080002,66.980003,41.676411,582728200
2010-04-01,67.269997,70.000000,66.849998,67.769997,42.167957,531285400
2010-05-01,68.110001,68.220001,58.459999,60.459999,37.619518,768609600
2010-06-01,60.380001,64.500000,56.919998,57.070000,35.751339,808522600
2010-07-01,56.980000,61.880001,55.939999,59.680000,37.386379,613489500
2010-08-01,60.639999,62.990002,58.049999,59.110001,37.029312,475629700
2010-09-01,60.040001,62.439999,59.720001,61.790001,38.985161,423362300
2010-10-01,62.320000,66.809998,61.799999,66.489998,41.950527,430427600
2010-11-01,66.720001,71.900002,66.629997,69.559998,43.887478,486318500
2010-12-01,70.379997,73.690002,70.379997,73.120003,46.424095,409237200
2011-01-01,73.720001,80.820000,73.639999,80.680000,51.223946,449380100
2011-02-01,81.139999,88.230003,81.040001,85.529999,54.303223,443594000
2011-03-01,86.410004,86.500000,78.800003,84.129997,53.695847,439334000
2011-04-01,84.720001,88.000000,82.379997,87.980003,56.153118,309722400
2011-05-01,88.099998,88.129997,79.419998,83.470001,53.274616,403834500
2011-06-01,83.550003,83.650002,76.720001,81.379997,52.235252,444344200
2011-07-01,81.190002,85.410004,79.760002,79.790001,51.214672,375467600
2011-08-01,80.820000,81.180000,67.029999,74.019997,47.511097,774165900
2011-09-01,74.150002,74.980003,67.930000,72.629997,46.926777,550523400
2011-10-01,72.050003,82.199997,69.209999,78.089996,50.454525,514198800
2011-11-01,75.820000,80.529999,73.900002,80.440002,51.972870,444321100
2011-12-01,80.199997,85.629997,78.660004,84.760002,55.090374,380150300
2012-01-01,85.970001,87.940002,83.459999,83.739998,54.427399,333545900
2012-02-01,84.230003,87.830002,83.190002,86.500000,56.221291,300700700
2012-03-01,86.470001,87.250000,84.050003,86.730003,56.679302,338912600
2012-04-01,86.599998,87.669998,81.879997,86.339996,56.424446,300234500
2012-05-01,86.459999,87.519997,78.410004,78.629997,51.385849,353685200
2012-06-01,77.870003,85.699997,77.129997,85.570000,56.306473,497990800
2012-07-01,85.440002,87.849998,82.830002,86.849998,57.148724,314314800
2012-08-01,87.019997,88.910004,85.500000,87.300003,57.444847,248010000
2012-09-01,87.330002,92.570000,86.519997,91.449997,60.566704,254195800
2012-10-01,91.790001,93.669998,89.680000,91.169998,60.381245,241112300
2012-11-01,90.250000,92.050003,85.059998,88.139999,58.374474,285676100
2012-12-01,88.550003,90.370003,84.699997,86.550003,57.680336,282441200
2013-01-01,87.790001,91.930000,87.239998,89.970001,59.959557,261496700
2013-02-01,90.440002,90.500000,87.610001,89.550003,59.679672,237182000
2013-03-01,89.070000,90.980003,87.900002,90.110001,60.436512,265045600
